Clients,PingResult,PingVariance,UploadThroughput,UploadThroughputVariance,UploadThroughputPeak,DownloadThroughput,DownloadThroughputVariance,DownloadThroughputPeak,UploadPacketRate,UploadPacketRateVariance,DownloadPacketRate,DownloadPacketRateVariance,FPS,FPSVariance
1,999,0,220.009,34749.3,1460.351,129.9948,20528.72,1313.123,4.230769,15.96,2.153846,9.52,159.1538,0
2,573.0961,24606.87,1872.088,1076894,3318.144,885.8112,357171.8,4377.886,23.23077,170,13.69231,88.07998,159.1538,0
3,407.1228,14474.67,3188.453,3377155,7935.965,2251.423,1489303,3359.952,41.57895,527.7223,33.15789,323.2778,159.1579,0
4,300.075,5503.963,3550.124,4100205,7106.354,3251.49,3011079,5112.144,48.6,747.5789,47.2,661.6841,159.2,0
5,247.32,3512.389,4697.015,6345345,8924.652,4156.723,5105995,8940.462,66,1307.579,63.4,1252.842,159.2,0
6,212.1167,2419.31,6958.22,1.339521E+07,9580.517,4971.128,8704169,15766.46,91.2,2325.263,76,1827.158,158.4,0
7,186.5,1796.383,6093.084,1.183806E+07,13569.96,5506.288,8548580,9103.897,88,2449.895,86.8,2257.895,158.8,0
8,181.4,2369.644,7748.535,1.697973E+07,11331.31,5790.534,9393640,8663.469,105.2,3168.631,90.4,2445.684,158.6,0
9,153.3556,1075.727,6781.435,1.358365E+07,10400.53,7516.7,1.555293E+07,10935.88,103.4,3099.579,115.7,3802.684,159.1,0
10,136.725,469.2329,7835.774,1.70471E+07,12868.47,6173.71,1.030109E+07,11260.9,116.55,3750.334,104.15,3015.872,158.55,0
11,132.4182,729.4202,7885.781,1.742534E+07,14560.98,6944.365,1.312177E+07,10003.17,124.2,4291.579,119,3959.368,158.4,0
12,123.6416,609.7163,8982.875,2.209415E+07,11835.82,7399.43,1.508883E+07,11348.48,138.6,5351.79,128.2,4654.526,158.6,0
13,124.1923,964.5607,9943.73,2.826141E+07,16431.87,8184.667,1.833153E+07,12854.51,148.8,6382.421,136.7,5360.789,158.7,0
14,112.1643,436.2256,11507.4,3.770062E+07,16597.44,9981.438,2.750975E+07,15064.52,174.6,8846.844,166.9,8040.052,158.3,0
15,113.2141,727.1376,12503.2,4.337026E+07,21497.05,10350.58,2.987677E+07,17546.11,186.1053,9744.557,171.5789,8453.777,158.7368,0
16,101.6062,349.5256,16341.83,1.137043E+08,65773.88,12947.6,4.547246E+07,16679.94,234.5,19766.26,210.1,12404.58,158.1,0
17,98.3353,295.6088,14308.03,5.980512E+07,26931.4,13411.22,4.905917E+07,19013.74,217.6,13745.16,218,13373.79,157.5,0
18,94.94444,267.2774,12621.38,4.773371E+07,21866.66,13502.83,5.000954E+07,19606.72,199.5,12005.84,217.1,13345.95,158.1,0
19,92.94737,241.2101,15890.55,7.379667E+07,31005.75,16902.86,8.339457E+07,29453.61,243.3,17411.42,265.1,20874.06,158,0
20,89.15475,204.6295,16682.57,8.041878E+07,26219.57,13926.74,5.384141E+07,19140.89,253.0476,18699.15,236.381,16491.2,158.4762,0
21,89.1629,296.2273,17063.93,8.079856E+07,24891.26,13794.54,5.325346E+07,20679.9,251.4737,18304.83,228.8421,15610.78,158.8421,0
22,84.93636,184.3155,19060.87,1.029707E+08,32638.43,15430.85,6.644353E+07,21758.95,279.4,22821.58,254.2,19159.68,158.5,0
23,86.15218,289.0567,16281.68,7.797907E+07,33674.8,16376.5,7.452106E+07,27126.48,254.5,18810.58,266.6,19913.69,158.7,0
24,86.3125,258.9088,19469.44,1.11624E+08,39152.79,17735.43,8.87105E+07,27303.4,305.1,28363.32,302.3,27917.63,159,0
25,83.91599,234.9832,19399.26,1.057326E+08,30234.51,17666.02,8.646122E+07,25238.72,295.9,25285.21,291.8,24895.26,159,0
26,84.62693,405.3196,20235.52,1.219169E+08,41193.84,17815.5,8.840914E+07,27414.67,305.7,28410.9,293.9,25918.79,158.5,0
27,79.55925,212.2814,22742.58,1.425975E+08,34590.54,19019.4,1.001017E+08,26415.12,339.4,32733.16,319.4,29981.68,158.8,0
28,78.88214,195.25,23689.58,1.57577E+08,34084.71,18809.72,9.927807E+07,27729.13,354.5,36997.53,319.5,30753.63,158.6,0
29,79.39999,193.3403,20606.14,1.363839E+08,51332.54,19744.55,1.101139E+08,34612.28,331.4,35392.84,340.8,35808.63,158.9,0
30,81.48666,183.4906,22188.11,1.446791E+08,39755.39,20081.78,1.137759E+08,31785.92,346.6,36426.11,343.8,36100.74,159,0
31,76.22411,209.4522,24751.95,1.841505E+08,42900.09,21354.16,1.269083E+08,31499.29,375.8947,42639.84,360.2105,38334.45,159.0526,0
32,76.21407,108.7943,26822.18,1.984355E+08,36577.61,20975.1,1.201511E+08,26747.27,400.8,45616.42,361.1,37435.43,158.9,0
33,73.79697,154.2475,23275.75,1.52004E+08,34987.81,22095.59,1.317993E+08,28806.22,369.2,38023.9,375.3,38977.63,159,0
34,73.24412,76.5746,26377.36,1.987417E+08,39677.78,24853.03,1.675117E+08,35183.34,422.7,51374.79,429.9,52356.15,158.8,0
35,70.33604,70.10236,25251.38,1.931123E+08,55630.63,26634.33,2.014176E+08,48423.24,411.1429,51009.95,443.7143,57747.26,159.0476,0
36,72.67251,93.90049,23651.79,1.616844E+08,38327.35,24501.88,1.657124E+08,40256.45,384.7368,42853.5,411.6842,48067.72,159.3684,0
37,75.62703,170.3635,27213.94,2.094084E+08,49398.67,26753.84,1.978419E+08,36985.75,432.5,53801.84,445,56905.58,159,0
38,70.85527,42.12993,27487.5,2.172749E+08,58487.14,25569.55,1.834832E+08,41948.09,436.7,56020.69,434,56165.58,159,0
39,73.3,50.12465,29552.87,2.449176E+08,46164.8,26199.25,1.871541E+08,37974.92,471.2,63632.02,455.2,59325.7,159,0
40,68.99,56.70819,24688.76,1.954046E+08,51883.91,26588.75,1.94816E+08,38500.82,422.7,56174.38,457,61674.32,159.1,0
41,71.09756,46.72624,30242.79,2.564685E+08,48041.34,28316.22,2.249295E+08,46661.7,489.0476,69395.34,482.5714,68356.16,158.381,0
42,70.01455,78.51029,31840.08,2.809613E+08,42779.81,27338.34,2.046005E+08,34943.11,500.1111,71702.88,473.7778,64369.41,158.2222,0
43,71.41306,97.01325,29015.24,2.48599E+08,46706.32,28450.36,2.210089E+08,40007.68,473.619,65666.55,486.7619,68156.74,157.8095,0
44,85.86243,163.9837,33409.53,3.206446E+08,51897.7,27255.75,2.025504E+08,36898.3,521.7895,80737.06,453.4737,59128.23,157.3684,0
45,76.50999,82.15983,32585.54,2.950937E+08,48504.73,27407.72,2.022843E+08,35938.43,510.4,73877.78,462.6,59403.05,157.2,0
46,74.87827,99.02517,31619.43,2.855446E+08,54623.32,29498.3,2.349066E+08,37550.77,509.1,75157.63,494.8,68939.67,158.5,0
47,70.33816,43.08716,32850.2,2.918662E+08,52697.71,28210.35,2.099492E+08,46586.71,518.8511,74187.3,474.6383,62340.74,158.2553,0
48,106.7613,7282.166,36021.76,3.892723E+08,124851.8,28406.28,2.150496E+08,48839.28,567.1818,93837.67,483.0606,65151.86,155.1212,0
49,154.0731,7756.665,37185.36,3.877226E+08,55052.59,30072.1,2.406753E+08,37311.07,579.4167,94131.87,498,67558.52,157.6667,0
50,107.0283,28.37423,38492.57,4.124568E+08,61183.81,32179.58,2.764685E+08,41599.64,602.8333,102492.2,548.25,83250.63,157.3333,0
